id,group_concat(Wdkon_Zones.name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Z0407,Z0408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Z0411,Z0412,Z0413,Z0414,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Z1892,Z1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Z1662,Z1668,Z1674,Z1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Z1666,Z1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Z0429,Z0430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Z0059,Z1384,Z1808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Z0102,Z1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Z1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Z0096,Z0097,Z0098,Z0100,Z1741,Z1742,Z1941,,,,,,,,,,,,,,,,,,,,,,,,,
255,Z0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Z0573,Z1251,Z1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Z0399,Z1717,Z1718,Z1719,Z1720,Z1721,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Z0849,Z0852,Z0878,Z0888,Z1724,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Z0104,Z0105,Z0106,Z0107,Z0108,Z0109,Z0110,Z0111,Z0112,Z0113,,,,,,,,,,,,,,,,,,,,,,
269,Z0396,Z0397,Z0398,Z0830,Z0839,Z0842,Z0846,Z0855,Z0859,Z1884,,,,,,,,,,,,,,,,,,,,,,
271,Z0093,Z0094,Z0095,Z1685,Z1689,Z1690,Z1809,,,,,,,,,,,,,,,,,,,,,,,,,
273,Z0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Z0738,Z0750,Z0754,Z0755,Z0756,Z0757,Z0758,Z0759,Z0764,Z0765,Z0766,Z0767,Z1722,Z1734,Z1735,Z1864,Z1865,Z1867,Z1868,,,,,,,,,,,,,
281,Z0891,Z0893,Z0895,Z0897,Z0898,Z0900,Z0901,Z0904,Z0905,Z0906,Z1872,,,,,,,,,,,,,,,,,,,,,
282,Z0060,Z0876,Z0889,Z0899,Z1716,Z1876,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Z0124,Z0574,Z0576,Z0577,Z0579,Z0580,Z1928,,,,,,,,,,,,,,,,,,,,,,,,,
306,Z1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Z0033,Z1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Z0162,Z0163,Z0164,Z0165,Z0204,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Z0589,Z1366,Z1378,Z1380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Z1365,Z1374,Z1376,Z1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Z0549,Z0550,Z0551,Z1088,Z1780,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Z0048,Z0049,Z0050,Z0051,Z0052,Z0053,Z0054,Z0055,Z0056,Z0057,Z0058,Z0634,Z0635,Z0636,Z0637,Z0638,Z1018,Z1050,Z1113,Z1526,Z1552,Z1553,Z1640,Z1706,Z1711,Z1712,Z1807,Z1814,Z1818,,,
329,Z1408,Z1409,Z1411,Z1412,Z1413,Z1934,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Z1258,Z1261,Z1263,Z1333,Z1364,Z1367,Z1371,Z1373,Z1843,Z1844,Z1845,Z1846,,,,,,,,,,,,,,,,,,,,
331,Z1329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Z0590,Z1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Z0140,Z0591,Z1519,Z1841,Z1842,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Z0141,Z0142,Z1327,Z1335,Z1368,Z1370,Z1372,Z1379,Z1847,Z1932,Z1935,Z1936,Z1937,,,,,,,,,,,,,,,,,,,
343,Z0744,Z0747,Z0748,Z0749,Z0769,Z0770,Z0771,Z0772,Z0773,Z0774,Z1732,Z1733,Z1736,Z1873,Z1982,Z1987,,,,,,,,,,,,,,,,
344,Z0751,Z0752,Z0753,Z0760,Z0761,Z0762,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Z0892,Z0902,Z0903,Z0908,Z0914,Z0916,Z0917,Z0938,Z0949,Z0955,Z0962,Z0963,Z1849,Z1869,Z1871,,,,,,,,,,,,,,,,,
346,Z0007,Z0008,Z0958,Z0960,Z0965,Z0967,Z0970,Z0971,Z0980,Z0989,Z0991,Z1020,Z1023,Z1026,Z1034,Z1044,Z1063,Z1522,Z1523,Z1524,Z1525,Z1645,Z1810,Z1811,Z1821,Z1822,,,,,,
347,Z1707,Z1708,Z1709,Z1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Z0547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Z0861,Z0862,Z0863,Z0864,Z1106,Z1647,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Z0199,Z0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Z0538,Z0539,Z0540,Z0541,Z0542,Z0543,Z0544,Z0629,Z0630,Z0631,Z0632,Z0633,Z1030,Z1037,Z1042,Z1046,Z1053,Z1086,Z1394,Z1395,Z1396,Z1397,Z1547,Z1812,Z1819,,,,,,,
352,Z0379,Z0380,Z0381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Z0369,Z0370,Z0371,Z0372,Z0373,Z0374,Z0375,Z0376,Z0377,Z0378,Z0382,Z0383,Z1727,Z1861,Z1972,,,,,,,,,,,,,,,,,
356,Z0078,Z0763,Z0797,Z1324,Z1325,Z1786,Z1857,,,,,,,,,,,,,,,,,,,,,,,,,
357,Z1093,Z1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Z0865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Z0123,Z1611,Z1612,Z1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Z0621,Z0622,Z0623,Z0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Z0625,Z0626,Z0627,Z0628,Z1820,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Z0651,Z0652,Z1013,Z1021,Z1039,Z1052,Z1120,Z1813,Z1815,Z1816,Z1817,,,,,,,,,,,,,,,,,,,,,
363,Z0742,Z0743,Z0745,Z0746,Z0775,Z0776,Z0777,Z0778,Z0779,Z0780,Z0781,Z0782,Z0783,Z0784,Z0785,Z0786,Z0787,Z1701,Z1702,Z1729,Z1730,Z1731,Z1866,Z1870,,,,,,,,
364,Z1369,Z1375,Z1404,Z1405,Z1406,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Z0984,Z1024,Z1032,Z1035,Z1054,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Z1098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Z0384,Z0385,Z0386,Z0387,Z0388,Z0389,Z0390,Z0391,Z0392,Z0393,Z0394,Z0395,Z0740,Z1785,Z1858,Z1859,,,,,,,,,,,,,,,,
369,Z1142,Z1143,Z1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Z0969,Z0974,Z0979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
