InputID,MEAN,STDDEV,MIN,MAX
Z1498,85.79909,32.56603,23.58655,149.55289
Z1499,138.07260,45.95467,34.71755,225.38590
Z1500,90.72933,34.28851,14.74469,145.93727
Z1501,93.14986,37.75744,24.74892,168.62830
Z1502,92.04445,40.27180,15.58079,167.11751
Z1503,96.26415,36.42648,26.72461,163.71081
Z1504,104.89940,48.51033,16.13318,186.43462
Z1505,87.89162,33.44834,24.74754,158.08331
Z1506,102.26095,39.81043,29.81566,183.98845
Z1507,103.25875,43.67730,25.57928,188.15858
Z1508,106.13263,37.64499,34.70421,176.19284
Z1509,110.32503,47.49429,18.29092,186.90096
Z1510,92.80666,31.87679,27.51236,155.79168
Z1511,86.59888,33.39665,25.96401,150.07828
Z1512,89.68112,30.10201,21.86054,139.15986
Z1513,222.70236,57.06697,56.46083,339.86812
Z1514,95.26507,39.57244,22.22737,163.16676
Z1515,109.89516,48.82216,16.13318,192.00994
Z1516,99.25066,35.52202,29.71766,162.77726
Z1517,114.17191,32.12293,53.07311,178.74136
Z1518,99.30569,43.06126,22.08529,184.17858
Z1519,170.61777,57.02005,25.07395,274.77016
Z1520,102.48920,40.34444,17.23591,189.79173
Z1521,169.21409,55.52925,56.75017,269.12542
Z1522,157.49279,48.64669,51.94505,253.28344
Z1523,136.17525,45.72442,51.99921,226.28232
Z1524,166.23962,56.12390,41.66157,255.32503
Z1525,175.25596,53.16992,74.99843,271.07145
Z1526,135.49103,52.90570,16.79935,223.10021
Z1527,105.76704,46.59493,14.86690,185.50296
Z1528,105.62741,47.54719,20.14362,189.20684
Z1529,102.37955,45.49683,24.85090,190.89225
Z1530,107.84829,43.39988,13.93361,180.47316
Z1531,111.95570,48.82933,20.14362,205.37556
Z1532,122.69223,45.52942,21.13232,200.07291
Z1533,121.08099,48.37228,21.13232,211.34848
Z1534,119.03445,42.79675,9.47403,190.43020
Z1535,104.44071,41.76639,15.19194,185.96375
Z1536,120.95405,42.58431,15.05393,189.66321
Z1537,123.32325,45.39573,22.48131,202.63147
Z1538,117.44155,36.31729,41.64487,200.40256
Z1539,106.95959,50.63325,19.93692,219.55917
Z1540,155.83591,50.29507,52.54266,248.05814
Z1541,163.58655,51.01796,52.54266,258.10478
Z1542,151.39860,45.37767,48.17034,227.66230
Z1543,123.67575,59.04359,14.66880,225.55609
Z1544,129.93648,56.68969,22.39334,231.75612
Z1545,121.07265,58.31557,14.66880,227.56284
Z1546,171.30018,62.98602,52.46123,295.41905
Z1547,126.81650,65.87256,21.81927,230.12660
