,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0562_Z1538,19,"['Z0562', 'Z1538']","['Residential', 'Residential']",1125.916724,186,"[0.10752688172043011, 0.8924731182795699]",166,"[0.04819277108433735, 0.9518072289156626]",3,365,492.893,57200
Z0563_Z1068,19,"['Z0563', 'Z1068']","['Residential', 'Residential']",716.6678971,118,"[0.788135593220339, 0.211864406779661]",51,"[0.8235294117647058, 0.17647058823529413]",6,103,215.588,36800
Z0957_Z0516_Z0561_Z0966,19,"['Z0957', 'Z0516', 'Z0561', 'Z0966']","['Residential', 'Residential', 'Residential', 'Residential']",890.2517582,147,"[0.10204081632653061, 0.5238095238095238, 0.21768707482993196, 0.1564625850340136]",47,"[0.10638297872340426, 0.48936170212765956, 0.23404255319148937, 0.1702127659574468]",5,97,203.774,45500
Z0957_Z0516_Z0561,19,"['Z0957', 'Z0516', 'Z0561']","['Residential', 'Residential', 'Residential']",751.8842653,124,"[0.12096774193548387, 0.6209677419354839, 0.25806451612903225]",39,"[0.1282051282051282, 0.5897435897435898, 0.28205128205128205]",4,80,167.564,38600
Z0957_Z0516_Z0966,19,"['Z0957', 'Z0516', 'Z0966']","['Residential', 'Residential', 'Residential']",696.3900082,115,"[0.13043478260869565, 0.6695652173913044, 0.2]",36,"[0.1388888888888889, 0.6388888888888888, 0.2222222222222222]",4,73,153.038,35900
Z0957_Z0561_Z0966,19,"['Z0957', 'Z0561', 'Z0966']","['Residential', 'Residential', 'Residential']",423.3400458,70,"[0.21428571428571427, 0.45714285714285713, 0.32857142857142857]",24,"[0.20833333333333334, 0.4583333333333333, 0.3333333333333333]",3,50,106.034,25400
Z0957_Z0516,19,"['Z0957', 'Z0516']","['Residential', 'Residential']",558.0225153,92,"[0.16304347826086957, 0.8369565217391305]",28,"[0.17857142857142858, 0.8214285714285714]",3,56,116.828,32880
Z0957_Z0561,19,"['Z0957', 'Z0561']","['Residential', 'Residential']",284.9725529,47,"[0.3191489361702128, 0.6808510638297872]",16,"[0.3125, 0.6875]",2,33,69.824,17580
Z0957_Z0966,19,"['Z0957', 'Z0966']","['Residential', 'Residential']",229.4782959,38,"[0.39473684210526316, 0.6052631578947368]",13,"[0.38461538461538464, 0.6153846153846154]",2,26,55.298,14520
Z0961_Z0516_Z0966,19,"['Z0961', 'Z0516', 'Z0966']","['Residential', 'Residential', 'Residential']",668.817629,110,"[0.09090909090909091, 0.7, 0.20909090909090908]",33,"[0.06060606060606061, 0.696969696969697, 0.24242424242424243]",4,68,147.276,34400
Z0961_Z0516,19,"['Z0961', 'Z0516']","['Residential', 'Residential']",530.4501361,87,"[0.11494252873563218, 0.8850574712643678]",25,"[0.08, 0.92]",3,51,111.066,31180
Z0961_Z0966,19,"['Z0961', 'Z0966']","['Residential', 'Residential']",201.9059167,33,"[0.30303030303030304, 0.696969696969697]",10,"[0.2, 0.8]",2,21,49.536,12820
Z0966_Z0516_Z0957_Z0961,19,"['Z0966', 'Z0516', 'Z0957', 'Z0961']","['Residential', 'Residential', 'Residential', 'Residential']",759.928432,125,"[0.184, 0.616, 0.12, 0.08]",38,"[0.21052631578947367, 0.6052631578947368, 0.13157894736842105, 0.05263157894736842]",5,77,166.364,38900
Z0966_Z0516_Z0957,19,"['Z0966', 'Z0516', 'Z0957']","['Residential', 'Residential', 'Residential']",696.3900082,115,"[0.2, 0.6695652173913044, 0.13043478260869565]",36,"[0.2222222222222222, 0.6388888888888888, 0.1388888888888889]",4,73,153.038,35900
Z0966_Z0516_Z0961,19,"['Z0966', 'Z0516', 'Z0961']","['Residential', 'Residential', 'Residential']",668.817629,110,"[0.20909090909090908, 0.7, 0.09090909090909091]",33,"[0.24242424242424243, 0.696969696969697, 0.06060606060606061]",4,68,147.276,34400
Z0966_Z0957_Z0961,19,"['Z0966', 'Z0957', 'Z0961']","['Residential', 'Residential', 'Residential']",293.0167197,48,"[0.4791666666666667, 0.3125, 0.20833333333333334]",15,"[0.5333333333333333, 0.3333333333333333, 0.13333333333333333]",3,30,68.624,17920
Z0966_Z0516,19,"['Z0966', 'Z0516']","['Residential', 'Residential']",605.2792052,100,"[0.23, 0.77]",31,"[0.25806451612903225, 0.7419354838709677]",3,64,133.95,31400
Z0966_Z0957,19,"['Z0966', 'Z0957']","['Residential', 'Residential']",229.4782959,38,"[0.6052631578947368, 0.39473684210526316]",13,"[0.6153846153846154, 0.38461538461538464]",2,26,55.298,14520
Z0966_Z0961,19,"['Z0966', 'Z0961']","['Residential', 'Residential']",201.9059167,33,"[0.696969696969697, 0.30303030303030304]",10,"[0.8, 0.2]",2,21,49.536,12820
Z1068_Z0563,19,"['Z1068', 'Z0563']","['Residential', 'Residential']",716.6678971,118,"[0.211864406779661, 0.788135593220339]",51,"[0.17647058823529413, 0.8235294117647058]",6,103,215.588,36800
Z1400_Z0484_Z0486,19,"['Z1400', 'Z0484', 'Z0486']","['Residential', 'Residential', 'Residential']",554.1581569,91,"[0.3516483516483517, 0.2967032967032967, 0.3516483516483517]",34,"[0.4117647058823529, 0.2647058823529412, 0.3235294117647059]",4,70,146.601,32540
Z1400_Z0484,19,"['Z1400', 'Z0484']","['Residential', 'Residential']",361.4962398,59,"[0.5423728813559322, 0.4576271186440678]",23,"[0.6086956521739131, 0.391304347826087]",3,46,96.174,21660
Z1400_Z0486,19,"['Z1400', 'Z0486']","['Residential', 'Residential']",388.3952316,64,"[0.5, 0.5]",25,"[0.56, 0.44]",2,53,111.889,23360
Z1538_Z0485_Z0562,19,"['Z1538', 'Z0485', 'Z0562']","['Residential', 'Residential', 'Residential']",1322.685317,218,"[0.7614678899082569, 0.14678899082568808, 0.09174311926605505]",175,"[0.9028571428571428, 0.05142857142857143, 0.045714285714285714]",4,385,534.093,66800
Z1538_Z0485,19,"['Z1538', 'Z0485']","['Residential', 'Residential']",1197.308265,198,"[0.8383838383838383, 0.16161616161616163]",167,"[0.9461077844311377, 0.05389221556886228]",3,369,501.274,60800
Z1538_Z0562,19,"['Z1538', 'Z0562']","['Residential', 'Residential']",1125.916724,186,"[0.8924731182795699, 0.10752688172043011]",166,"[0.9518072289156626, 0.04819277108433735]",3,365,492.893,57200
Z1417_Z1433_Z1434_Z1436_Z1437,21,"['Z1417', 'Z1433', 'Z1434', 'Z1436', 'Z1437']","['Residential', 'Residential', 'Residential', 'Residential', 'Residential']",4283.039484,712,"[0.5603932584269663, 0.11797752808988764, 0.11657303370786516, 0.11797752808988764, 0.08707865168539326]",770,"[0.8441558441558441, 0.045454545454545456, 0.04415584415584416, 0.03766233766233766, 0.02857142857142857]",11,1695,1872.57,215000
Z1417_Z1433_Z1434_Z1436,21,"['Z1417', 'Z1433', 'Z1434', 'Z1436']","['Residential', 'Residential', 'Residential', 'Residential']",3908.333482,650,"[0.6138461538461538, 0.12923076923076923, 0.1276923076923077, 0.12923076923076923]",748,"[0.8689839572192514, 0.04679144385026738, 0.045454545454545456, 0.03877005347593583]",10,1648,1774.537,196400
Z1417_Z1433_Z1434_Z1437,21,"['Z1417', 'Z1433', 'Z1434', 'Z1437']","['Residential', 'Residential', 'Residential', 'Residential']",3778.313374,628,"[0.6353503184713376, 0.1337579617834395, 0.1321656050955414, 0.09872611464968153]",741,"[0.8771929824561403, 0.04723346828609987, 0.04588394062078273, 0.029689608636977057]",10,1632,1740.526,189800
