,Plot_ID,Buildings_in_Community,Types_Community,Area_Community,Community_PV_Size,Bldg_share_in_community,Community_Meters,Bldg_share_in_meters_community,Num_EGIDs,Num_Occupants,Demand_Year_MWh,Community_PV_Subsidy
Z0472_Z0475_Z1402_Z1539,174,"['Z0472', 'Z0475', 'Z1402', 'Z1539']","['Residential', 'Commercial', 'Residential', 'Residential']",871.0726498623,142,"[0.2323943661971831, 0.43661971830985913, 0.2535211267605634, 0.07746478873239436]",44,"[0.3181818181818182, 0.022727272727272728, 0.29545454545454547, 0.36363636363636365]",4,139,249.06,44000
Z0472_Z1399_Z1402_Z1539,174,"['Z0472', 'Z1399', 'Z1402', 'Z1539']","['Residential', 'Residential', 'Residential', 'Residential']",712.2149101372,116,"[0.28448275862068967, 0.3103448275862069, 0.3103448275862069, 0.09482758620689655]",58,"[0.2413793103448276, 0.25862068965517243, 0.22413793103448276, 0.27586206896551724]",4,125,218.909,36200
Z0472_Z0469_Z0475,174,"['Z0472', 'Z0469', 'Z0475']","['Residential', 'Residential', 'Commercial']",803.2501508885,132,"[0.25, 0.2803030303030303, 0.4696969696969697]",28,"[0.5, 0.4642857142857143, 0.03571428571428571]",3,105,220.753,41000
Z0472_Z0470_Z0475,174,"['Z0472', 'Z0470', 'Z0475']","['Residential', 'Residential', 'Commercial']",696.7129944943999,114,"[0.2894736842105263, 0.16666666666666666, 0.543859649122807]",22,"[0.6363636363636364, 0.3181818181818182, 0.045454545454545456]",3,92,192.878,35600
Z0472_Z0470_Z1399,174,"['Z0472', 'Z0470', 'Z1399']","['Residential', 'Residential', 'Residential']",537.8552547693,88,"[0.375, 0.2159090909090909, 0.4090909090909091]",36,"[0.3888888888888889, 0.19444444444444445, 0.4166666666666667]",3,78,162.727,31520
Z0472_Z0471_Z0475,174,"['Z0472', 'Z0471', 'Z0475']","['Residential', 'Residential', 'Commercial']",754.2317826712999,124,"[0.2661290322580645, 0.23387096774193547, 0.5]",24,"[0.5833333333333334, 0.375, 0.041666666666666664]",3,95,198.71300000000002,38600
Z0472_Z0471_Z1399,174,"['Z0472', 'Z0471', 'Z1399']","['Residential', 'Residential', 'Residential']",595.3740429462,98,"[0.336734693877551, 0.29591836734693877, 0.3673469387755102]",38,"[0.3684210526315789, 0.23684210526315788, 0.39473684210526316]",3,81,168.562,34920
Z0472_Z0471_Z1402,174,"['Z0472', 'Z0471', 'Z1402']","['Residential', 'Residential', 'Residential']",599.105915178,98,"[0.336734693877551, 0.29591836734693877, 0.3673469387755102]",36,"[0.3888888888888889, 0.25, 0.3611111111111111]",3,76,158.147,34920
Z0472_Z0475_Z1399,174,"['Z0472', 'Z0475', 'Z1399']","['Residential', 'Commercial', 'Residential']",795.8127238832,131,"[0.25190839694656486, 0.4732824427480916, 0.2748091603053435]",30,"[0.4666666666666667, 0.03333333333333333, 0.5]",3,110,230.198,40700
Z0472_Z0475_Z1402,174,"['Z0472', 'Z0475', 'Z1402']","['Residential', 'Commercial', 'Residential']",799.544596115,131,"[0.25190839694656486, 0.4732824427480916, 0.2748091603053435]",28,"[0.5, 0.03571428571428571, 0.4642857142857143]",3,105,219.78300000000002,40700
